"Source:","D:\Projekte\tellur\02_ECAD_ECU\twoLevelInverter\twoLevelInverter\twoLevelInverter.kicad_sch"
"Date:","24.03.2023 10:59:15"
"Tool:","Eeschema (6.0.9)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","74"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C4, C7, C13, C14, ","5","0.1uF","C_Small","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor, small symbol",""
"C2, C5, C8, ","3","1nF","C_Small","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor, small symbol",""
"C3, C6, C10, ","3","100nF","C_Small","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor, small symbol",""
"C9, ","1","470uF/25 VDC","865080457015","max_KiCAD_lib:CAPAE1030X1050N","Wurth Elektronik 470uF 25 V dc Aluminium Electrolytic Capacitor, WCAP-ASLI Series 2000h 10 (Dia.) x 10.35mm",""
"C11, C12, ","2","2.2uF/100V","C_Small","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor, small symbol",""
"C15, ","1","4.7uF","C_Small","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor, small symbol",""
"C16, ","1","100uF/10V","C_Polarized_Small","max_KiCAD_lib:100uF_wuerth","Polarized capacitor, small symbol",""
"C17, ","1","10 nF","C_Small","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor, small symbol",""
"C18, ","1","100uF","C_Polarized","max_KiCAD_lib:100uF_wuerth","Polarized capacitor",""
"C19, ","1","68 uF","C_Polarized","max_KiCAD_lib:68uFcap","Polarized capacitor",""
"D1, ","1","24V","LED_Small","LED_SMD:LED_1206_3216Metric","Light emitting diode, small symbol",""
"D2, ","1","1A/100V","D_Small","Diode_SMD:D_SOD-323","Diode, small symbol",""
"D3, ","1","D_Schottky","D_Schottky","max_KiCAD_lib:schottydiode50V","Schottky diode",""
"H1, H2, H3, H4, ","4","MountingHole_Pad","MountingHole_Pad","MountingHole:MountingHole_5.3mm_M5_Pad_Via","Mounting Hole with connection",""
"IC1, ","1","MP9486AGN-Z","MP9486AGN-Z","max_KiCAD_lib:SOIC127P600X170-9N","Switching Voltage Regulators 100V Input, 3.5A, Switching Current Limit Step-Down Converter",""
"IC2, IC4, IC6, ","3","INA240A4DR","INA240A4DR","max_KiCAD_lib:SOIC127P600X175-8N","80V, Low-/High-Side, Bi-Directional, Zero-Drift, Current Sense Amp w/Enhanced PWM Rejection",""
"IC3, IC5, IC7, ","3","BTN8982TAAUMA1","BTN8982TAAUMA1","max_KiCAD_lib:PG-TO263-7-1","Infineon BTN8982TAAUMA1, BLDC Motor Driver IC, 40 V 55A 7-Pin, TO-263",""
"IC8, ","1","LM2675N-3.3_NOPB","LM2675N-3.3_NOPB","max_KiCAD_lib:LM2675N","SIMPLE SWITCHER 6.5V to 40V, 1A Low Component Count Step-Down Regulator",""
"J1, ","1","FX10A-80S_8-SV_71_","FX10A-80S_8-SV_71_","max_KiCAD_lib:FX10A80S8SV71","Board to Board & Mezzanine Connectors REC 80POS W/POST SMT",""
"J2, ","1","43045-0812","43045-0812","max_KiCAD_lib:43045-08YY_121314","Micro-Fit 3.0 Vertical Header, 3.00mm Pitch, Dual Row, 8 Circuits, with PCB Polarizing Peg, Glow-Wire Capable",""
"J3, J4, J5, J8, ","4","Screw_Terminal_01x04","Screw_Terminal_01x04","max_KiCAD_lib:screwconnector_4_wuerth","Generic screw terminal, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"L1, ","1","33uH","L_Small","max_KiCAD_lib:33uH_wuerth_7447706330","Inductor, small symbol",""
"L2, ","1","47uH","L_Small","Capacitor_SMD:C_0805_2012Metric","Inductor, small symbol",""
"R1, ","1","2K","R_Small","Resistor_SMD:R_1206_3216Metric","Resistor, small symbol",""
"R2, R7, R12, ","3","1K","R_Small","Resistor_SMD:R_1206_3216Metric","Resistor, small symbol",""
"R3, R8, R13, ","3","0K51","R_Small","Resistor_SMD:R_1206_3216Metric","Resistor, small symbol",""
"R4, R5, R9, R10, R14, R15, ","6","10K","R_Small","Resistor_SMD:R_1206_3216Metric","Resistor, small symbol",""
"R6, R11, R16, ","3","0.001","R_Small","Resistor_SMD:R_1206_3216Metric","Resistor, small symbol",""
"R17, ","1","240K","R_Small","Capacitor_SMD:C_1206_3216Metric","Resistor, small symbol",""
"R18, ","1","10K","R_Small","Capacitor_SMD:C_1206_3216Metric","Resistor, small symbol",""
"R19, R21, R23, R25, R27, ","5","1k","R_Small","Resistor_SMD:R_1206_3216Metric","Resistor, small symbol",""
"R20, R22, R24, R26, R28, ","5","1k5","R_Small","Resistor_SMD:R_1206_3216Metric","Resistor, small symbol",""
"U1, ","1","5V","LED_Small","LED_SMD:LED_1206_3216Metric","Light emitting diode, small symbol",""
"U2, U15, ","2","1k","R_Small","Resistor_SMD:R_1206_3216Metric","Resistor, small symbol",""
"U14, ","1","3V3","LED_Small","LED_SMD:LED_1206_3216Metric","Light emitting diode, small symbol",""
